520,0.02,0.2098359,0.06357908,0.1135325,33.72751,0.604248,-8.87085,0.02208279,0.9044215,0.2760361,0.972551,0.2219379,0.01125421,-0.06900456,12.45445,356.5268,354.6026,
521,0.04,0.2528498,-0.2981544,0.2411306,36.51646,-477.0618,-8.317871,0.02194661,0.8969606,0.2733731,0.9655663,0.2492011,0.02468358,-0.07051001,14.28027,332.6737,354.1867,
522,0.06,0.789077,-0.8443379,0.5717182,43.99654,-471.615,-7.126465,0.02400231,0.8871543,0.2722982,0.9471214,0.3068702,0.0563394,-0.07495263,16.4801,309.0929,353.8304,
526,0.08,0.8122982,-0.7377577,0.6024563,49.63959,-467.3413,-5.741577,0.02831439,0.8752987,0.2728967,0.9300695,0.3506148,0.07732677,-0.07785255,18.96208,285.7259,353.5433,
528,0.09999999,0.8391559,-0.5913091,0.737114,53.2935,-463.4009,-3.892822,0.03495746,0.8618006,0.2755429,0.912923,0.3892393,0.09246647,-0.08071101,21.62675,262.5558,353.3486,
531,0.12,0.6988382,-0.5200052,0.7364488,56.95221,-460.6686,-2.245483,0.04354176,0.846858,0.2802347,0.8968881,0.4221512,0.1027012,-0.08266058,24.47436,239.5224,353.2364,
531,0.14,0.06025583,0.1048207,0.07476926,55.39539,-460.2808,-1.66626,0.05229342,0.8322066,0.2851342,0.8968881,0.4221512,0.1027012,-0.08266058,27.24413,216.5083,353.153,
532,0.16,0.9988129,-0.4743218,1.294187,59.75788,-457.3065,0.06347656,0.06381957,0.8162376,0.2936286,0.878397,0.4560072,0.1142462,-0.08616502,30.23203,193.643,353.1562,
535,0.18,0.2536151,0.06117582,0.4621553,58.73211,-456.7761,0.9655762,0.07605021,0.8004386,0.3034069,0.8758644,0.4609781,0.1138621,-0.08600123,33.16863,170.8042,353.2045,
537,0.2,0.4952082,0.3731704,0.9645331,55.19997,-456.3528,2.533569,0.08965642,0.7856761,0.3158644,0.8789812,0.4554879,0.113465,-0.08395527,35.92863,147.9866,353.3312,
539,0.22,0.3573158,0.5457973,0.7471454,50.50835,-455.9625,3.751831,0.1042552,0.7724298,0.3303972,0.8870282,0.4392325,0.1162744,-0.08207577,38.45405,125.1884,353.5188,
541,0.24,0.1366746,0.6172085,0.6075954,45.52498,-456.4966,4.387207,0.1192336,0.7608979,0.3466179,0.8972179,0.4185344,0.1164724,-0.07914142,40.7303,102.3636,353.7381,
543,0.26,0.1012182,0.6146765,0.485909,41.36444,-456.4119,4.782715,0.1344932,0.7510734,0.3641883,0.9086062,0.3941201,0.1163563,-0.07460321,42.79852,79.54302,353.9773,
545,0.28,-0.09827852,1.020119,0.563972,31.44135,-458.5665,6.33606,0.1494797,0.7440826,0.3833253,0.9209023,0.3658209,0.1159603,-0.06831908,44.37059,56.6147,354.2941,
547,0.3,-0.2900594,2.01951,0.3514659,13.50792,-461.264,8.443604,0.1636606,0.7427016,0.4034386,0.946184,0.2983319,0.1147918,-0.05056767,45.04598,33.55149,354.7162,
550,0.32,-0.1760817,0.9982967,-0.01512766,4.511185,-461.5999,9.916992,0.1773523,0.7440936,0.4235099,0.9613372,0.2483975,0.1133839,-0.03568625,45.27154,10.4715,355.2121,
552,0.34,-0.3546309,1.146162,-0.3673768,-7.037582,16.6633,-468.8776,0.190059,0.7486694,0.4425606,0.9720982,0.2042988,0.1131272,-0.02212485,44.91966,11.30467,331.7682,
554,0.36,-0.9718233,1.693761,-0.76841,-23.99498,11.55062,-468.1421,0.2000661,0.7579501,0.4594769,0.9813069,0.157855,0.1098557,-0.007105139,43.71991,11.8822,308.3611,
557,0.38,-1.407908,1.981616,-1.28231,-45.504,6.191845,-466.4392,0.2061624,0.7727352,0.4728313,0.9926339,0.06780984,0.09811885,0.02126494,41.44471,12.19179,285.0392,
